Frame,Object,x,y,width,height,,,non occluded
8,2,1090.41,0,101.2,234.32,1,1,1
8,3,0,488.79,196.12,231.21,1,1,1
8,4,0.24,397.55,119.16,295.45,1,1,0
8,5,1197.75,0,79.17,80,1,1,0
8,6,654.86,0,50.82,65,1,1,0
9,1,323,0,76,170,1,1,1
9,2,1090.84,0,101.21,234.32,1,1,1
9,3,0,488.79,196.12,231.21,1,1,1
9,4,0.24,397.55,119.16,295.45,1,1,0
9,5,1198.5,0,79.17,80,1,1,0
9,6,654.95,0,51.07,65,1,1,0
10,1,323,0,76,170,1,1,1
10,2,1091.28,0,101.2,234.32,1,1,1
10,3,0,488.79,196.12,231.21,1,1,1
10,4,0.24,397.55,119.16,295.45,1,1,0
10,5,1199.25,0,79.17,80,1,1,0
10,6,655.05,0,51.3,65,1,1,0
11,1,323,0,76,170,1,1,1
11,2,1091.71,0,101.21,234.32,1,1,1
11,3,0,488.79,196.12,231.21,1,1,1
11,4,0.24,397.55,119.16,295.45,1,1,0
11,5,1200,0,79.17,80,1,1,0
11,6,655.14,0,51.55,65,1,1,0
12,1,323,0,76,170,1,1,1
12,2,1092.15,0,101.2,234.32,1,1,1
12,3,0,488.79,196.12,231.21,1,1,1
12,4,0.24,397.55,119.16,295.45,1,1,0
12,5,1199.76,0.52,79.17,80,1,1,0
12,6,655.24,0,51.78,65,1,1,0
13,1,323,0,76,170,1,1,1
13,2,1092.58,0,101.21,234.32,1,1,1
13,3,0,488.79,196.12,231.21,1,1,1
13,4,0.24,397.55,119.16,295.45,1,1,0
13,5,1199.52,1.03,79.17,80,1,1,0
13,6,655.33,0,52.03,65,1,1,0
14,1,323,1,76,170,1,1,1
14,2,1093.02,0,101.2,234.32,1,1,1
14,3,0,488.79,196.12,231.21,1,1,1
14,4,0.24,397.55,119.16,295.45,1,1,0
14,5,1199.29,1.55,79.16,80,1,1,0
14,6,655.42,0,52.28,65,1,1,0
15,1,323,1,76,170,1,1,1
15,2,1093.45,0,101.21,234.32,1,1,1
15,3,0,488.79,196.12,231.21,1,1,1
15,4,0.24,397.55,119.16,295.45,1,1,0
15,5,1199.05,2.06,79.16,80,1,1,0
15,6,655.52,0,52.51,65,1,1,0
16,1,323,1,76,170,1,1,1
16,2,1093.89,0,101.2,234.32,1,1,1
16,3,0,488.79,196.12,231.21,1,1,1
16,4,0.24,397.55,119.16,295.45,1,1,0
16,5,1198.81,2.58,79.17,80,1,1,0
16,6,655.61,0,52.76,65,1,1,0
17,1,323,1,76,170,1,1,1
17,2,1094.32,0,101.21,234.32,1,1,1
17,3,0,488.79,196.12,231.21,1,1,1
17,4,0.24,397.55,119.16,295.45,1,1,0
17,5,1198.57,3.1,79.17,80,1,1,0
17,6,655.71,0,52.99,65,1,1,0
18,1,323,1,76,170,1,1,1
18,2,1094.76,0,101.2,234.32,1,1,1
18,3,0,488.79,196.12,231.21,1,1,1
18,4,0.24,397.55,119.16,295.45,1,1,0
18,5,1198.33,3.61,79.17,80,1,1,0
18,6,655.8,0,53.24,65,1,1,0
19,1,323,1,76,170,1,1,1
19,2,1095.2,0,101.2,234.32,1,1,1
19,3,0,488.79,196.12,231.21,1,1,1
19,4,0.24,397.55,119.16,295.45,1,1,0
19,5,1198.1,4.13,79.16,80,1,1,0
19,6,655.89,0,53.48,65,1,1,0
20,1,323,1,76,170,1,1,1
20,2,1099.11,0,101.21,232.36,1,1,1
20,3,0,488.79,196.12,231.21,1,1,1
20,4,0.24,397.55,119.16,295.45,1,1,0
20,5,1197.86,4.64,79.16,80,1,1,0
20,6,655.99,0,53.72,65,1,1,0
21,1,323,1,76,170,1,1,1
21,2,1099,0,101.69,232.36,1,1,1
21,3,0,488.79,196.12,231.21,1,1,1
21,4,0.24,397.55,119.16,295.45,1,1,0
21,5,1197.62,5.16,79.17,80,1,1,0
21,6,656.08,0,53.96,65,1,1,0
22,1,323,1,76,170,1,1,1
22,2,1098.89,0,102.17,232.36,1,1,1
22,3,0,488.79,196.12,231.21,1,1,1
22,4,0.24,397.55,119.16,295.45,1,1,0
22,5,1197.38,5.67,79.17,80,1,1,0
22,6,656.18,0,54.2,65,1,1,0
23,1,323,1,76,170,1,1,1
23,2,1098.78,0,102.66,232.36,1,1,1
23,3,0,488.79,196.12,231.21,1,1,1
23,4,0.24,397.55,119.16,295.45,1,1,0
23,5,1197.14,6.19,79.17,80,1,1,0
23,6,656.27,0,54.44,65,1,1,0
24,1,323,1,76,170,1,1,1
24,2,1098.66,0,103.15,232.36,1,1,1
24,3,0,488.79,196.12,231.21,1,1,1
24,4,0.24,397.55,119.16,295.45,1,1,0
24,5,1196.9,6.71,79.17,80,1,1,0
24,6,656.36,0,54.69,65,1,1,0
25,1,323,1,76,170,1,1,1
25,2,1098.55,0,103.64,232.36,1,1,1
25,3,0,488.79,196.12,231.21,1,1,1
25,4,0.24,397.55,119.16,295.45,1,1,0
25,5,1196.67,7.22,79.16,80,1,1,0
25,6,656.46,0,54.93,65,1,1,0
26,1,323,0,76,170,1,1,1
26,2,1098.44,0,104.12,232.36,1,1,1
26,3,0,488.79,196.12,231.21,1,1,1
26,4,0.24,397.55,119.16,295.45,1,1,0
26,5,1196.43,7.74,79.17,80,1,1,0
26,6,656.55,0,55.17,65,1,1,0
27,1,323,1,76,170,1,1,1
27,2,1098.33,0,104.61,232.36,1,1,1
27,3,0,488.79,196.12,231.21,1,1,1
27,4,0.24,397.55,119.16,295.45,1,1,0
27,5,1196.19,8.25,79.17,80,1,1,0
27,6,656.65,0,55.41,65,1,1,0
28,1,323,1,76,170,1,1,1
28,2,1098.22,0,105.09,232.36,1,1,1
28,3,0,488.79,196.12,231.21,1,1,1
28,4,0.24,397.55,119.16,295.45,1,1,0
28,5,1195.95,8.77,79.17,80,1,1,0
28,6,656.74,0,55.65,65,1,1,0
29,1,323,0,76,170,1,1,1
29,2,1098.1,0,105.59,232.36,1,1,1
29,3,0,488.79,196.12,231.21,1,1,1
29,4,0.24,397.55,119.16,295.45,1,1,0
29,5,1195.71,9.29,79.17,80,1,1,0
29,6,656.83,0,55.9,65,1,1,0
30,1,323,0,76,170,1,1,1
30,2,1097.99,0,106.07,232.36,1,1,1
30,3,0,488.79,196.12,231.21,1,1,1
30,4,0.24,397.55,119.16,295.45,1,1,0
30,5,1195.48,9.8,79.16,80,1,1,0
30,6,656.93,0,56.13,65,1,1,0
31,1,325,0,76,170,1,1,1
31,2,1097.88,0,106.56,232.36,1,1,1
31,3,0,488.79,196.12,231.21,1,1,1
31,4,0.24,397.55,119.16,295.45,1,1,0
31,5,1195.24,10.32,79.16,80,1,1,0
31,6,657.02,0,56.38,65,1,1,0
32,7,600.75,0,45.92,70.83,1,1,0
32,1,322,1,76,170,1,1,1
32,2,1097.77,0,107.04,232.36,1,1,1
32,3,0,488.79,196.12,231.21,1,1,1
32,4,0.24,397.55,119.16,295.45,1,1,0
32,5,1195,10.83,79.17,80,1,1,0
32,6,657.12,0,56.61,65,1,1,0
33,7,601.53,0,45.91,70.83,1,1,0
33,1,323,1,76,170,1,1,1
33,2,1097.66,0,107.52,232.36,1,1,1
33,3,0,488.79,196.12,231.21,1,1,1
33,4,0.24,397.55,119.16,295.45,1,1,0
33,5,1194.74,12.05,79.17,80,1,1,0
33,6,657.21,0,56.86,65,1,1,0
34,7,602.31,0,45.91,70.83,1,1,0
34,1,322,1,76,170,1,1,1
34,2,1097.55,0,108.01,232.36,1,1,1
34,3,0,488.79,196.12,231.21,1,1,1
34,4,0.24,397.55,119.16,295.45,1,1,0
34,5,1194.49,13.27,79.16,80,1,1,0
34,6,657.31,0,57.1,65,1,1,0
35,7,603.08,0,45.92,70.83,1,1,0
35,1,322,1,76,170,1,1,1
35,2,1097.43,0,108.5,232.36,1,1,1
35,3,0,488.79,196.12,231.21,1,1,1
35,4,0.24,397.55,119.16,295.45,1,1,0
35,5,1194.23,14.49,79.17,80,1,1,0
35,6,657.4,0,57.34,65,1,1,0
36,7,603.86,0,45.92,70.83,1,1,0
36,1,323,1,76,170,1,1,1
36,2,1097.32,0,108.99,232.36,1,1,1
36,3,0,488.79,196.12,231.21,1,1,1
36,4,0.24,397.55,119.16,295.45,1,1,0
36,5,1193.97,15.71,79.17,80,1,1,0
36,6,657.49,0,57.59,65,1,1,0
37,7,604.64,0,45.92,70.83,1,1,0
37,1,323,1,76,170,1,1,1
37,2,1097.21,0,109.47,232.36,1,1,1
37,3,0,488.79,196.12,231.21,1,1,1
37,4,0.24,397.55,119.16,295.45,1,1,0
37,5,1193.72,16.92,79.16,80,1,1,0
37,6,657.59,0,57.82,65,1,1,0
38,7,605.42,0,45.91,70.83,1,1,0
38,1,323,1,76,170,1,1,1
38,2,1097.1,0,109.96,232.36,1,1,1
38,3,0,488.79,196.12,231.21,1,1,1
38,4,0.24,397.55,119.16,295.45,1,1,0
38,5,1193.46,18.14,79.17,80,1,1,0
38,6,657.68,0,58.07,65,1,1,0
39,7,606.19,0,45.92,70.83,1,1,0
39,1,323,1,76,170,1,1,1
39,2,1096.99,0,110.44,232.36,1,1,1
39,3,0,488.79,196.12,231.21,1,1,1
39,4,0.24,397.55,119.16,295.45,1,1,0
39,5,1193.2,19.36,79.17,80,1,1,0
39,6,657.78,0,58.3,65,1,1,0
40,7,606.97,0,45.92,70.83,1,1,0
40,1,323,1,76,170,1,1,1
40,2,1096.87,0,110.94,232.36,1,1,1
40,3,0,488.79,196.12,231.21,1,1,1
40,4,0.24,397.55,119.16,295.45,1,1,0
40,5,1192.95,20.58,79.16,80,1,1,0
40,6,657.87,0,58.55,65,1,1,0
41,7,607.75,0,45.92,70.83,1,1,0
41,1,323,1,76,170,1,1,1
41,2,1096.76,0,111.42,232.36,1,1,1
41,3,0,488.79,196.12,231.21,1,1,1
41,4,0.24,397.55,119.16,295.45,1,1,0
41,5,1192.69,21.79,79.17,80,1,1,0
41,6,657.96,0,58.79,65,1,1,0
42,7,608.53,0,45.91,70.83,1,1,0
42,1,322,1,76,170,1,1,1
42,2,1096.65,0,111.9,232.36,1,1,1
42,3,0,488.79,196.12,231.21,1,1,1
42,4,0.24,397.55,119.16,295.45,1,1,0
42,5,1192.44,23.01,79.16,80,1,1,0
42,6,658.06,0,59.03,65,1,1,0
43,7,609.31,0,45.91,70.83,1,1,0
43,1,323,1,76,170,1,1,1
43,2,1096.54,0,112.39,232.36,1,1,1
43,3,0,488.79,196.12,231.21,1,1,1
43,4,0.24,397.55,119.16,295.45,1,1,0
43,5,1192.18,24.23,79.17,80,1,1,0
43,6,658.15,0,59.27,65,1,1,0
44,7,610.08,0,45.92,70.83,1,1,0
44,1,322,1,76,170,1,1,1
44,2,1096.43,0,112.87,232.36,1,1,1
44,3,0,488.79,196.12,231.21,1,1,1
44,4,0.24,397.55,119.16,295.45,1,1,0
44,5,1191.92,25.45,79.17,80,1,1,0
44,6,658.25,0,59.51,65,1,1,0
45,7,610.86,0,45.92,70.83,1,1,0
45,1,322,2,76,170,1,1,1
45,2,1096.31,0,113.37,232.36,1,1,1
45,3,0,488.79,196.12,231.21,1,1,1
45,4,0.24,397.55,119.16,295.45,1,1,0
45,5,1191.67,26.67,79.16,80,1,1,0
45,6,658.34,0,59.76,65,1,1,0
46,7,611.64,0,45.92,70.83,1,1,0
46,1,322,2,76,170,1,1,1
46,2,1096.2,0,113.85,232.36,1,1,1
46,3,0,488.79,196.12,231.21,1,1,1
46,4,0.24,397.55,119.16,295.45,1,1,0
46,5,1191.5,26.61,79.33,80.06,1,1,0
46,6,658.43,0,60,65,1,1,0
47,7,612.42,0,45.91,70.83,1,1,0
47,1,323,2,76,170,1,1,1
47,2,1096.09,0,114.34,232.36,1,1,1
47,3,0,488.79,196.12,231.21,1,1,1
47,4,0.24,397.55,119.16,295.45,1,1,0
47,5,1191.34,26.55,79.49,80.12,1,1,0
47,6,658.53,0,60.24,65,1,1,0
48,7,612.5,0,48.42,71,1,1,0
48,1,322,2,76,170,1,1,1
48,2,1095.98,0,114.82,232.36,1,1,1
48,3,0,488.79,196.12,231.21,1,1,1
48,4,0.24,397.55,119.16,295.45,1,1,0
48,5,1191.17,26.49,79.66,80.18,1,1,0
48,6,658.62,0,60.48,65,1,1,0
49,7,612.58,0,50.93,71.17,1,1,0
49,1,322,1,76,170,1,1,1
49,2,1095.87,0,115.31,232.36,1,1,1
49,3,0,488.79,196.12,231.21,1,1,1
49,4,0.24,397.55,119.16,295.45,1,1,0
49,5,1191.01,26.43,79.82,80.24,1,1,0
49,6,658.72,0,60.72,65,1,1,0
50,7,612.67,0,53.42,71.33,1,1,0
50,1,321,1,76,170,1,1,1
50,2,1095.75,0,115.8,232.36,1,1,1
50,3,0,488.79,196.12,231.21,1,1,1
50,4,0.24,397.55,119.16,295.45,1,1,0
50,5,1190.84,26.37,79.99,80.3,1,1,0
50,6,658.81,0,60.96,65,1,1,0
51,7,612.75,0,55.93,71.5,1,1,0
51,1,322,2,76,170,1,1,1
51,2,1095.64,0,116.29,232.36,1,1,1
51,3,0,488.79,196.12,231.21,1,1,1
51,4,0.24,397.55,119.16,295.45,1,1,0
51,5,1190.68,26.31,80.15,80.36,1,1,0
51,6,658.9,0,61.21,65,1,1,0
52,7,612.83,0,58.44,71.67,1,1,0
52,1,321,1,76,170,1,1,1
52,2,1095.53,0,116.77,232.36,1,1,1
52,3,0,488.79,196.12,231.21,1,1,1
52,4,0.24,397.55,119.16,295.45,1,1,0
52,5,1190.52,26.26,80.31,80.41,1,1,0
52,6,659,0,61.44,65,1,1,0
53,7,612.92,0,60.93,71.83,1,1,0
53,1,321,1,76,170,1,1,1
53,2,1095.42,0,119.41,232.36,1,1,1
53,3,0,488.79,196.12,231.21,1,1,1
53,4,0.24,397.55,119.16,295.45,1,1,0
53,5,1190.35,26.2,80.48,80.47,1,1,0
53,6,659.09,0,61.69,65,1,1,0
54,7,613,0,63.44,72,1,1,0
54,1,319,2,76,170,1,1,1
54,2,1095.31,0,122.06,232.36,1,1,1
54,3,0,488.79,196.12,231.21,1,1,1
54,4,0.24,397.55,119.16,295.45,1,1,0
54,5,1190.19,26.14,80.64,80.53,1,1,0
54,6,659.19,0,61.92,65,1,1,0
55,7,613.08,0,65.95,72.17,1,1,0
55,1,317,2,76,170,1,1,1
55,2,1095.19,0,124.71,232.36,1,1,1
55,3,0,488.79,196.12,231.21,1,1,1
55,4,0.24,397.55,119.16,295.45,1,1,0
55,5,1190.02,26.08,80.81,80.59,1,1,0
55,6,659.28,0,62.17,65,1,1,0
56,7,613.17,0,68.44,72.33,1,1,0
56,1,316,2,85.8,170,1,1,1
56,2,1095.4,0,124.5,232.36,1,1,1
56,3,0,488.79,196.12,231.21,1,1,1
56,4,0.24,397.55,119.16,295.45,1,1,0
56,5,1189.86,26.02,80.97,80.65,1,1,0
56,6,659.38,0,62.41,65,1,1,0
57,7,613.25,0,70.95,72.5,1,1,0
57,1,316,3,84.2,170,1,1,1
57,2,1095.61,0,124.29,232.36,1,1,1
57,3,0,488.79,196.12,231.21,1,1,1
57,4,0.24,397.55,119.16,295.45,1,1,0
57,5,1189.69,25.96,81.14,80.71,1,1,0
57,6,659.47,0,62.65,65,1,1,0
58,7,614.23,0,70.95,72.5,1,1,0
58,1,314,2,83.8,170,1,1,1
58,2,1095.81,0,124.09,232.36,1,1,1
58,3,0,488.79,196.12,231.21,1,1,1
58,4,0.24,397.55,119.16,295.45,1,1,0
58,5,1189.53,25.9,81.3,80.77,1,1,0
58,6,659.56,0,62.9,65,1,1,0
59,7,615.21,0,70.95,72.5,1,1,0
59,1,314,2,83,170,1,1,1
59,2,1096.02,0,123.88,232.36,1,1,1
59,3,0,488.79,196.12,231.21,1,1,1
59,4,0.24,397.55,119.16,295.45,1,1,0
59,5,1189.37,25.84,81.46,80.83,1,1,0
59,6,659.66,0,63.13,65,1,1,0
60,7,616.18,0,70.95,72.5,1,1,0
60,1,313,3,83,170,1,1,1
60,2,1096.23,0,123.67,232.36,1,1,1
60,3,0,488.79,196.12,231.21,1,1,1
60,4,0.24,397.55,119.16,295.45,1,1,0
60,5,1189.2,25.79,81.63,80.88,1,1,0
60,6,659.75,0,63.38,65,1,1,0
61,7,617.16,0,70.95,72.5,1,1,0
61,1,312,3,83,170,1,1,1
61,2,1096.43,0,123.47,232.36,1,1,1
61,3,0,488.79,196.12,231.21,1,1,1
61,4,0.24,397.55,119.16,295.45,1,1,0
61,5,1189.04,25.73,81.79,80.94,1,1,0
61,6,659.85,0,63.61,65,1,1,0
62,7,618.14,0,70.95,72.5,1,1,0
62,1,312,4,78.1,170,1,1,1
62,2,1096.64,0,123.26,232.36,1,1,1
62,3,0,488.79,196.12,231.21,1,1,1
62,4,0.24,397.55,119.16,295.45,1,1,0
62,5,1188.87,25.67,81.96,81,1,1,0
62,6,659.94,0,63.86,65,1,1,0
63,7,619.12,0,70.95,72.5,1,1,0
63,1,309,5,78,170,1,1,1
63,2,1096.85,0,123.05,232.36,1,1,1
63,3,0,488.79,196.12,231.21,1,1,1
63,4,0.24,397.55,119.16,295.45,1,1,0
63,5,1188.71,25.61,82.12,81.06,1,1,0
63,6,660.03,0,64.1,65,1,1,0
64,7,620.1,0,70.95,72.5,1,1,0
64,1,310,5,78,170,1,1,1
64,2,1097.05,0,122.85,232.36,1,1,1
64,3,0,488.79,196.12,231.21,1,1,1
64,4,0.24,397.55,119.16,295.45,1,1,0
64,5,1188.54,25.55,82.29,81.12,1,1,0
64,6,660.72,0,64.1,65,1,1,0
65,7,621.08,0,70.95,72.5,1,1,0
65,1,309,5,78,170,1,1,1
65,2,1097.26,0,122.64,232.36,1,1,1
65,3,0,488.79,196.12,231.21,1,1,1
65,4,0.24,397.55,119.16,295.45,1,1,0
65,5,1188.38,25.49,82.45,81.18,1,1,0
65,6,661.4,0,64.1,65,1,1,0
66,7,622.05,0,70.95,72.5,1,1,0
66,1,310,5,68.2,170,1,1,1
66,2,1097.47,0,122.43,232.36,1,1,1
66,3,0,488.79,196.12,231.21,1,1,1
66,4,0.24,397.55,119.16,295.45,1,1,0
66,5,1188.22,25.43,82.61,81.24,1,1,0
66,6,662.08,0,64.1,65,1,1,0
67,7,623.03,0,70.95,72.5,1,1,0
67,1,307,0,68,170,1,1,1
67,2,1097.67,0,122.23,232.36,1,1,1
67,3,0,488.79,196.12,231.21,1,1,1
67,4,0.24,397.55,119.16,295.45,1,1,0
67,5,1188.05,25.37,82.78,81.3,1,1,0
67,6,662.76,0,64.1,65,1,1,0
68,7,624.01,0,70.95,72.5,1,1,0
68,1,308,4,68,170,1,1,1
68,2,1097.88,0,122.02,232.36,1,1,1
68,3,0,488.79,196.12,231.21,1,1,1
68,4,0.24,397.55,119.16,295.45,1,1,0
68,5,1187.89,25.31,82.94,81.36,1,1,0
68,6,663.44,0,64.1,65,1,1,0
69,7,624.99,0,70.95,72.5,1,1,0
69,1,307,4,68,170,1,1,1
69,2,1098.09,0,121.81,232.36,1,1,1
69,3,0,488.79,196.12,231.21,1,1,1
69,4,0.24,397.55,119.16,295.45,1,1,0
69,5,1187.72,25.26,83.11,81.41,1,1,0
69,6,664.13,0,64.09,65,1,1,0
70,7,625.97,0,70.95,72.5,1,1,0
70,1,300.1,0,72.9,170,1,1,1
70,2,1098.29,0,121.61,232.36,1,1,1
70,3,0,488.79,196.12,231.21,1,1,1
70,4,0.24,397.55,119.16,295.45,1,1,0
70,5,1187.56,25.2,83.27,81.47,1,1,0
70,6,664.81,0,64.1,65,1,1,0
71,7,626.95,0,70.95,72.5,1,1,0
71,1,295,0,75.3,170,1,1,1
71,2,1098.5,0,121.4,232.36,1,1,1
71,3,0,488.79,196.12,231.21,1,1,1
71,4,0.24,397.55,119.16,295.45,1,1,0
71,5,1187.39,25.14,83.44,81.53,1,1,0
71,6,665.49,0,64.1,65,1,1,0
72,7,627.92,0,70.95,72.5,1,1,0
72,1,295,1,75,170,1,1,1
72,2,1098.7,0,121.2,232.36,1,1,1
72,3,0,488.79,196.12,231.21,1,1,1
72,4,0.24,397.55,119.16,295.45,1,1,0
72,5,1187.23,25.08,83.6,81.59,1,1,0
72,6,666.17,0,64.1,65,1,1,0
73,7,628.9,0,70.95,72.5,1,1,0
73,1,293,0,75,170,1,1,1
73,2,1098.91,0,120.99,232.36,1,1,1
73,3,0,488.79,196.12,231.21,1,1,1
73,4,0.24,397.55,119.16,295.45,1,1,0
73,5,1187.07,25.02,83.76,81.65,1,1,0
73,6,666.85,0,64.1,65,1,1,0
74,7,629.88,0,70.95,72.5,1,1,0
74,1,293,0,75,170,1,1,1
74,2,1099.12,0,120.78,232.36,1,1,1
74,3,0,488.79,196.12,231.21,1,1,1
74,4,0.24,397.55,119.16,295.45,1,1,0
74,5,1186.9,24.96,83.93,81.71,1,1,0
74,6,667.53,0,64.1,65,1,1,0
75,7,630.86,0,70.95,72.5,1,1,0
75,1,293,2,84.8,170,1,1,1
75,2,1099.32,0,120.58,232.36,1,1,1
75,3,0,488.79,196.12,231.21,1,1,1
75,4,0.24,397.55,119.16,295.45,1,1,0
75,5,1186.74,24.9,84.09,81.77,1,1,0
75,6,668.13,0,64.1,65,1,1,0
76,7,631.84,0,70.95,72.5,1,1,0
76,1,291,5,84,170,1,1,1
76,2,1099.53,0,120.37,232.36,1,1,1
76,3,0,488.79,196.12,231.21,1,1,1
76,4,0.24,397.55,119.16,295.45,1,1,0
76,5,1186.57,24.84,84.26,81.83,1,1,0
76,6,668.72,0,64.1,65,1,1,0
77,7,632.82,0,70.95,72.5,1,1,0
77,1,291,4,84,170,1,1,1
77,2,1099.74,0,120.16,232.36,1,1,1
77,3,0,488.79,196.12,231.21,1,1,1
77,4,0.24,397.55,119.16,295.45,1,1,0
77,5,1186.41,24.79,84.42,81.88,1,1,0
77,6,669.31,0,64.1,65,1,1,0
78,7,633.79,0,70.95,72.5,1,1,0
78,1,291,5,84,170,1,1,1
78,2,1099.94,0,119.96,232.36,1,1,1
78,3,0,488.79,196.12,231.21,1,1,1
78,4,0.24,397.55,119.16,295.45,1,1,0
78,5,1186.24,24.73,84.59,81.94,1,1,0
78,6,669.9,0,64.1,65,1,1,0
79,7,634.77,0,70.95,72.5,1,1,0
79,1,289.4,5,85.6,170,1,1,1
79,2,1100.15,0,119.75,232.36,1,1,1
79,3,0,488.79,196.12,231.21,1,1,1
79,4,0.24,397.55,119.16,295.45,1,1,0
79,5,1186.08,24.67,84.75,82,1,1,0
79,6,670.49,0,64.1,65,1,1,0
80,7,635.75,0,70.95,72.5,1,1,0
80,1,278.2,0,94.8,177,1,1,1
80,2,1100.36,0,119.54,232.36,1,1,1
80,3,0,488.79,196.12,231.21,1,1,1
80,4,0.24,397.55,119.16,295.45,1,1,0
80,5,1185.92,24.61,84.91,82.06,1,1,0
80,6,671.09,0,64.1,65,1,1,0
81,7,635.81,0,70.95,72.39,1,1,0
81,1,276.2,4.1,94.8,175.9,1,1,1
81,2,1100.56,0,119.34,232.36,1,1,1
81,3,0,488.79,196.12,231.21,1,1,1
81,4,0.24,397.55,119.16,295.45,1,1,0
81,5,1185.75,24.55,85.08,82.12,1,1,0
81,6,671.68,0,64.1,65,1,1,0
82,7,635.86,0,70.95,72.28,1,1,0
82,1,280.1,5.1,90.9,173.9,1,1,1
82,2,1100.77,0,119.13,232.36,1,1,1
82,3,0,488.79,196.12,231.21,1,1,1
82,4,0.24,397.55,119.16,295.45,1,1,0
82,5,1185.59,24.49,85.24,82.18,1,1,0
82,6,672.27,0,64.1,65,1,1,0
83,7,635.92,0,70.95,72.17,1,1,0
83,1,276.2,0,94.8,181,1,1,1
83,2,1100.98,0,118.92,232.36,1,1,1
83,3,0,488.79,196.12,231.21,1,1,1
83,4,0.24,397.55,119.16,295.45,1,1,0
83,5,1185.42,24.43,85.41,82.24,1,1,0
83,6,672.86,0,64.1,65,1,1,0
84,7,635.97,0,70.95,72.06,1,1,0
84,1,275,4,94,181,1,1,1
84,2,1101.18,0,118.72,232.36,1,1,1
84,3,0,488.79,196.12,231.21,1,1,1
84,4,0.24,397.55,119.16,295.45,1,1,0
84,5,1185.26,24.37,85.57,82.3,1,1,0
84,6,673.45,0,64.1,65,1,1,0
85,7,636.03,0,70.95,71.94,1,1,0
85,1,274,2,94,181,1,1,1
85,2,1101.39,0,118.51,232.36,1,1,1
85,3,0,488.79,196.12,231.21,1,1,1
85,4,0.24,397.55,119.16,295.45,1,1,0
85,5,1185.09,24.32,85.74,82.35,1,1,0
85,6,674.05,0,64.1,65,1,1,0
86,7,636.08,0,70.95,71.83,1,1,0
86,1,271,2,107.7,181,1,1,1
86,2,1101.6,0,118.3,232.36,1,1,1
86,3,0,488.79,196.12,231.21,1,1,1
86,4,0.24,397.55,119.16,295.45,1,1,0
86,5,1184.93,24.26,85.9,82.41,1,1,0
86,6,674.64,0,64.1,65,1,1,0
87,7,636.14,0,70.95,71.72,1,1,0
87,1,271,2,111.6,181,1,1,1
87,2,1101.8,0,118.1,232.36,1,1,1
87,3,0,488.79,196.12,231.21,1,1,1
87,4,0.24,397.55,119.16,295.45,1,1,0
87,5,1184.77,24.2,86.06,82.47,1,1,0
87,6,675.23,0,64.1,65,1,1,0
88,7,636.19,0,70.95,71.61,1,1,0
88,1,270,3,115.5,181,1,1,1
88,2,1102.01,0,117.89,232.36,1,1,1
88,3,0,488.79,196.12,231.21,1,1,1
88,4,0.24,397.55,119.16,295.45,1,1,0
88,5,1184.6,24.14,86.23,82.53,1,1,0
88,6,675.82,0,64.1,65,1,1,0
89,7,636.25,0,70.95,71.5,1,1,0
89,1,267,3,119.5,181,1,1,1
89,2,1102.22,0,117.68,232.36,1,1,1
89,3,0,488.79,196.12,231.21,1,1,1
89,4,0.24,397.55,119.16,295.45,1,1,0
89,5,1184.44,24.08,86.39,82.59,1,1,0
