fecha, algoritmo, video, TE: HOTA, TE: DetA, TE: AssA, TE: DetRe, TE: DetPr, TE: AssRe, TE: AssPr, TE: LocA, TE: IDF1, TE: IDR, TE: IDP, TE: IDTP, TE: IDFN, TE: IDFP, TE: SFDA, TE: ATA, MP: F1 Score Detecciones, MP: Precision Detecciones, MP: Recall Detecciones, MP: Max Personas Detectadas/Esperadas, HM: IOUBB[%], Tiempo [s], RAM [MB], CPU [%], GPU [%], Carpeta
20230204-175013, object_detection/yolov7, ../data/videos/large1.mp4,23.303,68.756,8.0904,74.578,81.016,12.184,18.977,84.775,18.634,17.894,19.438,3067,14073,12711,76.474,9.8475,0.918749747,0.962110209,0.886114719, 10/9,0, , , , , ../resultados/yolov7/20230204-175013
20230130-022032, object_detection/yolox, ../data/videos/large1.mp4,21.161,58.543,7.7708,62.233,81.662,12.791,16.312,84.314,19.383,17.077,22.409,2927,14213,10135,68.942,10.64,0.815979958,0.950631854,0.727123918, 9/9,0.609589278, , , , , ../resultados/yolox/20230130-022032
20230130-031631, object_tracking/siam-mot, ../data/videos/large1.mp4,55.828,64.15,48.969,74.5,73.219,51.404,80.875,82.801,62.684,63.232,62.144,10838,6302,6602,73.204,10.999,0.883138909,0.880342073,0.892722763, 11/9,0.824056053, , , , , ../resultados/siam-mot/20230130-031631
20230130-185544, object_detection/pedestrian_detection, ../data/videos/large2.mp4,23.781,59.207,9.7412,64.942,72.521,19.482,15.054,78.997,26.444,25.062,27.987,2940,8791,7565,68.883,14.081,0.888845236,0.952628788,0.850902778, 9/9,0.905409783, , , , , ../resultados/pedestrian_detection/20230130-185544
20230130-194129, object_detection/yolov1-tiny, ../data/videos/large2.mp4,1.8906,1.0838,3.3197,1.097,30.137,4.1974,12.722,64.899,0.7567,0.39212,10.773,46,11685,381,1.5249,0.53651,0.009466877,0.865530303,0.005726912, 3/9,0.024997127, , , , , ../resultados/yolov1-tiny/20230130-194129
20230130-195205, object_detection/yolov2, ../data/videos/large2.mp4,12.221,12.518,12.091,12.769,72.961,17.302,27.566,78.513,12.943,7.6038,43.449,892,10839,1161,22.934,5.254,0.286223239,0.948863636,0.206776335, 4/9,0.547488584, , , , , ../resultados/yolov2/20230130-195205
20230130-200458, object_detection/yolov3, ../data/videos/large2.mp4,26.342,57.864,12.28,62.407,72.672,23.866,17.609,77.941,28.535,26.519,30.881,3111,8620,6963,67.968,14.66,0.886340201,0.969120491,0.830137446, 9/9,0.776498697, , , , , ../resultados/yolov3/20230130-200458
20230204-183221, object_detection/yolov7, ../data/videos/large2.mp4,21.557,58.868,8.1424,70.194,66.098,14.44,16.033,78.541,23.631,24.363,22.941,2858,8873,9600,68.271,11.603,0.875697352,0.857530483,0.918449315, 10/9,0.708928941, , , , , ../resultados/yolov7/20230204-183221
20230130-192035, object_detection/yolox, ../data/videos/large2.mp4,21.539,59.223,8.0687,66.816,70.71,13.968,15.449,79.369,23.746,23.093,24.438,2709,9022,8376,69.071,11.739,0.886131659,0.919075397,0.874325758, 9/9,0.853529547, , , , , ../resultados/yolox/20230130-192035
20230130-202722, object_tracking/siam-mot, ../data/videos/large2.mp4,47.395,52.861,42.865,70.007,58.448,46.477,72.917,78.106,58.615,64.411,53.776,7556,4175,6495,63.271,10.964,0.827482038,0.772207481,0.920852092, 12/9,0.823538692, , , , , ../resultados/siam-mot/20230130-202722
20230130-233356, object_detection/pedestrian_detection, ../data/videos/large3.mp4,21.327,55.539,8.2368,58.296,79.28,17.249,14.307,81.628,19.085,16.56,22.52,1830,9221,6296,66.168,10.276,0.819907386,0.972472944,0.73898539, 7/8,0.876339969, , , , , ../resultados/pedestrian_detection/20230130-233356
20230131-000813, object_detection/yolov1-tiny, ../data/videos/large3.mp4,2.2319,1.1373,4.4343,1.1483,27.289,5.2306,16.455,61.656,0.24314,0.12669,3.0108,14,11037,451,1.9369,0.08119,0.004133838,0.806363636,0.002649351, 2/8,0.415653202, , , , , ../resultados/yolov1-tiny/20230131-000813
20230131-001547, object_detection/yolov2, ../data/videos/large3.mp4,2.9673,2.8027,3.1432,2.9095,38.096,4.2269,14.459,74.348,3.0433,1.6379,21.445,181,10870,663,4.8443,1.0145,0.063204906,0.807954545,0.040753247, 3/8,0, , , , , ../resultados/yolov2/20230131-001547
20230131-002832, object_detection/yolov3, ../data/videos/large3.mp4,24.304,56.918,10.587,60.325,78.017,22.947,16.881,81.345,24.648,21.853,28.262,2415,8636,6130,68.066,12.216,0.846671235,0.965753247,0.774326299, 7/8,0.665903016, , , , , ../resultados/yolov3/20230131-002832
20230204-191601, object_detection/yolov7, ../data/videos/large3.mp4,21.278,63.712,7.351,69.647,76.675,12.138,18.995,81.982,19.679,18.777,20.671,2075,8976,7963,72.907,8.6179,0.896086671,0.944849567,0.864443182, 9/8,0.723023525, , , , , ../resultados/yolov7/20230204-191601
20230130-235627, object_detection/yolox, ../data/videos/large3.mp4,20.809,59.466,7.4169,63.258,79.766,12.849,17.031,82.835,18.552,16.632,20.972,1838,9213,6926,70.264,8.801,0.853240129,0.960451299,0.788368506, 7/8,0.757772223, , , , , ../resultados/yolox/20230130-235627
20230131-005135, object_tracking/siam-mot, ../data/videos/large3.mp4,47.291,58.813,38.395,72.726,66.126,43.104,69.178,80.877,52.299,54.909,49.926,6068,4983,6086,70.349,18.884,0.871852546,0.848593254,0.905176948, 10/8,0.774422735, , , , , ../resultados/siam-mot/20230131-005135
